"Date","Passage"
"2024-02-01","Ps 136:10-15; 2.Mose 19:1–20:21; Mk 14:26-52"
"2024-02-02","Ps 136:16-26; 2.Mose 20:22–22:30; Mk 14:53-72"
"2024-02-03","Ps 119:1-8; 2.Mose 23:1–24:18; Mk 15:1-20a"
"2024-02-04","Ps 119:9-16; 2.Mose 25:1–26:37; Mk 15:20b-47"
"2024-02-05","Ps 119:17-24; 2.Mose 27:1–29:37; Mk 16:1-8"
"2024-02-06","Ps 119:25-32; 2.Mose 29:38–31:18; Mk 16:9-20"
"2024-02-07","Ps 119:33-40; 2.Mose 32:1–33:23; Lk 1:1-25"
"2024-02-08","Ps 119:41-48; 2.Mose 34:1–36:7; Lk 1:26-56"
"2024-02-09","Ps 119:49-56; 2.Mose 36:8–38:31; Lk 1:57–2:20"
"2024-02-10","Ps 119:57-64; 2.Mose 39:1–40:38; Lk 2:21-52"
"2024-02-11","Ps 119:65-72; 3.Mose 1:1–3:17; Lk 3:1-20"
"2024-02-12","Ps 119:73-80; 3.Mose 4:1–5:26; Lk 3:21–4:13"
"2024-02-13","Ps 119:81-88; 3.Mose 6:1–7:38; Lk 4:14-44"
"2024-02-14","Ps 119:89-96; 3. Mose 8:1–10:20; Lk 5:1-26"
"2024-02-15","Ps 119:97-104 ; 3.Mose 11:1–12:8; Lk 5:27–6:16"
"2024-02-16","Ps 119:105-112; 3.Mose 13:1-59; Lk 6:17-49"
"2024-02-17","Ps 119:113-120; 3.Mose 14:1–15:33; Lk 7:1-17"
"2024-02-18","Ps 119:121-128; 3.Mose 16:1–18:30; Lk 7:18-35"
"2024-02-19","Ps 119:129-136; 3.Mose 19:1–20:27; Lk 7:36–8:15"
"2024-02-20","Ps 119:137-144; 3.Mose 21:1–23:44; Lk 8:16-39"
"2024-02-21","Ps 119:145-152; 3.Mose 24:1–25:55; Lk 8:40-56"
"2024-02-22","Ps 119:153-160; 3.Mose 26:1–27:34; Lk 9:1-27"
"2024-02-23","Ps 119:161-168; 4.Mose 1:1–2:34; Lk 9:28-50"
"2024-02-24","Ps 119:169-176; 4.Mose 3:1–4:49; Lk 9:51–10:16"
"2024-02-25","Ps 99:1-9; 4.Mose 5:1–6:27; Lk 10:17-42"
"2024-02-26","Ps 100:1-5; 4.Mose 7:1–8:26; Lk 11:1-28"
"2024-02-27","Ps 101:1-8; 4.Mose 9:1–10:36; Lk 11:29-54"
"2024-02-28","Ps 102:1-12; 4.Mose 11:1–12:16; Lk 12:1-34 "
